Hormone,_c1,Organ
5beta-Dihydroaldosterone,isPrecursorToName,Tetrahydroaldosterone
Cortisol,isPrecursorToName,"5beta-pregnane-3,20-dione"
18-oxocortisol,isPrecursorToName,18-oxo-dihydrocortisol
Cortisol,isPrecursorToName,5alpha-Dihydrocortisol
Tetrahydrocortisol,isPrecursorToName,11beta-Hydroxyetiocholanolone
11-deoxycorticosterone,isPrecursorToName,5beta-dihydrodeoxycorticosterone
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,Cortisone
17-hydroxypregnenolone,isPrecursorToName,17-hydroxyprogesterone
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,Pregnanediol
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,Testosterone
"20R,22R-dihydroxycholesterol",isPrecursorToName,Pregnenolone
Aldosterone,isPrecursorToName,Aldosterone 18-glucuronide
18-hydroxycortisol,isPrecursorToName,18-oxocortisol
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,Cortolone
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,Pregnenediol b
20beta-Dihydrocortisone,isPrecursorToName,"5beta-pregnane-17alpha,20beta,21-triol-3,11-dione"
"5beta-pregnane-17alpha,20beta,21-triol-3,11-dione",isPrecursorToName,beta-cortolone
21-Deoxycortisone,isPrecursorToName,21-deoxycortisol
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,Allo-Tetrahydrocortisol
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,17-hydroxypregnenolone
Progesterone,isPrecursorToName,11-deoxycorticosterone
Corticosterone,isPrecursorToName,5beta-Dihydrocorticosterone
Cortisone,isPrecursorToName,Cortisol
"17alpha-hydroxy-5beta-Pregnane-3,11,20-trione",isPrecursorToName,"5beta-Pregnane-3alpha,17alpha-diol-11,20-dione"
Pregnanediol,isPrecursorToName,Glucuronides
Urocortisone,isPrecursorToName,Glucuronides
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,5alpha-Dihydrocortisol
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,Estradiol
"4,5beta-Dihydrocortisone",isPrecursorToName,Tetrahydrocortisone
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,Glucuronides
"3alpha,11beta,18,21-tetrahydroxy-5beta-pregnan-20-one",isPrecursorToName,18-Hydroxy-11-dehydrotetrahydrocorticosterone
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,20alpha-Hydroxycortisol
"11b, 21-Dihydroxy-3,20-5b-Pregnan-18-al",isPrecursorToName,"3a,11b,21-Trihydroxy-20-Oxo-5b-Pregnan-18-al"
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,17-hydroxyprogesterone
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,Dehydroepiandrosterone sulfate
Aldosterone,isPrecursorToName,5beta-Dihydroaldosterone
Tetrahydrocortisol,isPrecursorToName,Cortisol
Cortisol,isPrecursorToName,5beta-dihydrocortisol
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,"3a,11b,21-Trihydroxy-20-Oxo-5b-Pregnan-18-al"
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,norepinephrine
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,"11b, 21-Dihydroxy-3,20-5b-Pregnan-18-al"
11-Dehydrocorticosterone,isPrecursorToName,Corticosterone
"5beta-Pregnane-3alpha,17alpha-diol-11,20-dione",isPrecursorToName,Pregnanetriolone
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,beta-cortol
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,alpha-Cortol
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,"5beta-pregnane-17alpha,20alpha,21-triol-3,11-dione"
Cholesterol,isPrecursorToName,22R-Hydroxycholesterol
5beta-dihydrocortisol,isPrecursorToName,Tetrahydrocortisol
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,Pregnenetriol
"4-Pregnene-17alpha,20alpha-diol-3,11-dione",isPrecursorToName,"5beta-Pregnane-17alpha,20alpha-diol-3,11-dione"
Cortisol,isPrecursorToName,Cortisone
Tetrahydrocortisol,isPrecursorToName,Glucuronides
Cortisone,isPrecursorToName,20alpha-Dihydrocortisone
Cortisone,isPrecursorToName,20beta-Dihydrocortisone
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,beta-cortolonic acid
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,20beta-Dihydrocortisone
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,"3alpha,21-dihydroxy-5beta-pregnane-11,20-dione"
Testosterone,isPrecursorToName,Dihydrotestosterone
Progesterone,isPrecursorToName,"5alpha-pregnane-3,20-dione"
Tetrahydrocortisol,isPrecursorToName,Cortolic acid
17-hydroxyprogesterone,isPrecursorToName,11-Deoxycortisol
Corticosterone,isPrecursorToName,18-hydroxycorticosterone
Cortolone,isPrecursorToName,Glucuronides
"5beta-pregnan-21-ol-3,11,20-trione",isPrecursorToName,11-Ketoetiocholanolone
Pregnenolone,isPrecursorToName,Progesterone
Urocortisone,isPrecursorToName,Cortolone
