MasterID,Mesor_hat,AmplitudeHat,AcrophaseHat,Peak,Nadir,PeakTime,NadirTime,Phase,Morning,Afternoon,Evening,Night,MorningPeak,AfternoonPeak,EveningPeak,NightPeak,BimodalAfternoon,BimodalEvening
763,4.985646770242516,-1.6202022600827453,6.922634027062369,11.487,0.589,6.666666666666667,12.0,5.333333333333333,4.778,2.702,4.778,4.778,11.487,4.05,11.487,11.487,True,True
769,3.0846730935179774,-3.0144075565257307,6.922634027062369,12.884,0.232,8.666666666666666,1.6666666666666665,17.0,7.904,2.354,7.904,7.904,12.884,2.622,12.884,12.884,True,True
771,4.201400522468708,4.394211370002457,6.922634027062369,17.895,1.081,5.333333333333333,1.3333333333333333,20.0,7.461,2.864,7.461,7.461,17.895,4.482,17.895,17.895,True,True
787,2.882908901489991,-2.885617669825151,6.922634027062369,9.766,0.26,10.0,2.6666666666666665,16.666666666666668,6.44,2.124,6.44,6.44,9.766,4.223,9.766,9.766,True,True
793,5.1170687976933635,-2.5497498389252042,6.922634027062369,12.053,0.245,8.0,12.666666666666666,4.666666666666666,9.782,4.8545,9.782,9.782,12.053,7.764,12.053,12.053,True,False
795,3.1780172141730807,-3.530605925546157,6.922634027062369,16.782,1.049,9.666666666666666,0.3333333333333333,14.666666666666666,5.232,4.225,5.232,5.232,16.782,6.391,16.782,16.782,True,True
803,7.12691428504549,-3.580571348276872,6.922634027062369,26.466,1.028,7.333333333333333,3.3333333333333335,20.0,9.419,2.979,9.419,9.419,26.466,5.132,26.466,26.466,True,True
805,1.421309098664004,-1.6647438168050666,6.922634027062369,5.642,0.147,8.333333333333334,2.3333333333333335,18.0,3.509,0.978,3.509,3.509,5.642,3.068,5.642,5.642,True,True
807,4.643200924356539,-2.40823662380302,6.922634027062369,12.367,0.781,7.0,4.0,21.0,8.341,4.527,8.341,8.341,12.367,7.124,12.367,12.367,True,True
811,4.792472474957921,-4.421092287225459,6.922634027062369,15.625,0.584,10.333333333333334,2.0,15.666666666666666,8.768,6.3,8.768,8.768,15.625,9.512,15.625,15.625,True,True
817,4.3445796006886,-3.105558337519154,6.922634027062369,13.728,0.458,7.333333333333333,4.666666666666667,21.333333333333336,5.434,4.592,5.434,5.434,13.728,9.172,13.728,13.728,True,False
821,2.3605735553088887,-1.8101417636541437,6.922634027062369,7.242,0.445,8.666666666666666,1.6666666666666665,17.0,3.57,2.075,3.57,3.57,7.242,2.678,7.242,7.242,True,True
823,0.6423409384439214,-0.75917290754486,6.922634027062369,3.106,0.126,11.333333333333334,23.333333333333332,11.999999999999998,1.741,0.633,1.741,1.741,3.106,0.737,3.106,3.106,True,True
825,3.0433228876555,-2.3436651322014397,6.922634027062369,9.304,0.297,8.333333333333334,1.3333333333333333,17.0,5.176,2.351,5.176,5.176,9.304,3.478,9.304,9.304,True,True
835,3.1582855673166814,-2.6178714429493146,6.922634027062369,12.622,0.367,7.0,11.0,4.0,6.076,2.198,6.076,6.076,12.622,7.644,12.622,12.622,True,False
837,3.67609718602094,2.0758236604698466,6.922634027062369,13.117,0.584,6.0,19.333333333333332,13.333333333333332,3.212,1.948,3.212,3.212,13.117,2.137,13.117,13.117,True,True
845,4.199246508900536,-5.033508661793056,6.922634027062369,19.304,0.507,8.666666666666666,2.3333333333333335,17.666666666666664,9.955,2.014,9.955,9.955,19.304,2.937,19.304,19.304,True,True
855,3.4812421333244865,-3.7814951355702093,6.922634027062369,11.876,0.457,9.0,2.3333333333333335,17.333333333333332,8.607,3.383,8.607,8.607,11.876,6.151,11.876,11.876,True,True
857,6.5372697329745195,3.441096619657,6.922634027062369,18.407,1.422,6.666666666666667,22.0,15.333333333333332,9.758,3.281,9.758,9.758,18.407,3.8,18.407,18.407,True,True
859,2.73382137326745,-1.5090683116464925,6.922634027062369,7.94,0.45,8.333333333333334,1.6666666666666665,17.333333333333336,3.806,1.918,3.806,3.806,7.94,2.514,7.94,7.94,True,True
865,0.8574068330637971,-0.2861459285379277,6.922634027062369,2.14,0.069,8.0,4.0,20.0,0.792,0.605,0.792,0.792,2.14,1.051,2.14,2.14,True,True
869,3.390294809566032,-3.02178887755329,6.922634027062369,12.799,0.436,8.333333333333334,2.0,17.666666666666664,6.269,2.226,6.269,6.269,12.799,3.198,12.799,12.799,True,True
875,2.992715982513848,-1.9778790893887246,6.922634027062369,8.916,0.394,7.666666666666667,0.6666666666666666,17.0,4.381,2.35,4.381,4.381,8.916,2.555,8.916,8.916,True,True
877,2.423988145048989,-1.6434602470239774,6.922634027062369,6.71,0.422,10.333333333333334,3.3333333333333335,17.0,3.581,2.362,3.581,3.581,6.71,3.469,6.71,6.71,True,True
881,5.524819831846201,-3.960119484721087,6.922634027062369,16.529,1.18,8.666666666666666,11.0,2.333333333333334,11.495,5.341,11.495,11.495,16.529,6.867,16.529,16.529,True,True
883,4.532868166562833,-3.4608478083618506,6.922634027062369,13.927,0.429,8.333333333333334,1.6666666666666665,17.333333333333336,9.48,2.54,9.48,9.48,13.927,4.851,13.927,13.927,True,True
891,2.8091697851235202,-2.198298971671403,6.922634027062369,9.454,0.302,8.0,0.6666666666666666,16.666666666666668,4.734,2.144,4.734,4.734,9.454,3.281,9.454,9.454,True,True
